element,well_id,core_id,setion_id,depth_cm,z_m,r1_ppm,r3_ppm,av_ex,st_dev_ex
Zn,5,2,4,36.92,184.433,10.417,18.587,14.502,5.777
Zn,5,2,5,48.46,184.317,11.471,18.279,14.875,4.814
Zn,5,2,6,60,184.202,39.209,32.372,35.79,4.835
Zn,5,3,7,66,184.142,11.26,32.372,21.816,14.928
Zn,5,3,8,78,184.022,25.655,44.846,35.251,13.571
Zn,5,3,9,90,183.902,25.171,36.864,31.017,8.269
Zn,5,4,10,98.57,183.816,25.579,29.528,27.554,2.792
Zn,5,4,11,109.29,183.709,25.882,36.292,31.087,7.361
Zn,5,4,12,120,183.602,18.039,31.303,24.671,9.379
Zn,6,1,1,8.57,185.017,21.694,,21.694,
Zn,6,1,2,19.29,184.91,20.232,25.503,22.867,3.727
Zn,6,1,3,30,184.803,8.703,,8.703,
Zn,6,2,4,37.78,184.725,6.817,11.202,9.009,3.1
Zn,6,2,5,48.89,184.614,7,11.688,9.344,3.315
Zn,6,2,6,60,184.503,6.613,17.079,11.846,7.4
Zn,6,3,8,75.71,184.346,12.534,22.597,17.566,7.116
Zn,6,3,9,90,184.203,13.469,24.544,19.006,7.831
Zn,6,4,10,97.78,184.125,27.124,26.784,26.954,0.24
Zn,6,4,11,108.89,184.014,20.15,32.515,26.332,8.744
Zn,6,4,12,120,183.903,33.841,36.611,35.226,1.958
Zn,7,1,1,7.78,185.93,39.639,109.959,74.799,49.724
Zn,7,1,2,18.89,185.819,13.644,37.498,25.571,16.868
Zn,7,1,3,30,185.708,9.002,16.526,12.764,5.321
Zn,7,2,4,40,185.608,10.687,16.912,13.8,4.402
Zn,7,2,5,50,185.508,9.216,12.752,10.984,2.5
Zn,7,2,6,60,185.408,6.186,17.106,11.646,7.721
Zn,7,3,8,75.71,185.251,10.502,21.025,15.763,7.441
Zn,7,3,9,90,185.108,10.702,23.35,17.026,8.943
Zn,7,4,10,96,185.048,8.24,20.957,14.598,8.992
Zn,7,4,11,108,184.928,9.423,15.12,12.271,4.028
Zn,7,4,12,120,184.808,11.344,17.703,14.523,4.497
Zn,8,1,1 (NRx2),5,186.514,44.034,,44.034,
Zn,8,1,2,17.5,186.389,20.377,47.224,33.8,18.984
Zn,8,1,3,30,186.264,6.818,11.639,9.228,3.409
Zn,8,2,4,36.92,186.195,14.201,14.373,14.287,0.122
Zn,8,2,5,48.46,186.079,4.205,234.74,119.473,163.013
Zn,8,2,6,60,185.964,3.658,10.625,7.142,4.927
Zn,8,3,7,70,185.864,7.786,15.679,11.732,5.581
